"@title","thai"
"@language","th-TH"
"@scale","auto"
"@appli","20 - Do not change"
"@version","1.00 - Do not change"
"@author","Your Name"
"#00000","ดรูว์แบดแบด"
"#00001","ขาดสติ"
"#00002","อาร์ตี้สติ๊ก"
"#00003","มีประสบการณ์ 20 ปี"
"#00004","ปรุงเนื้อ"
"#00005","เคยเปิดร้านสเต็ก"
"#00006","เอนสลีย์ ฮาริคอต"
"#00007","ชอบของสวยๆงามๆ"
"#00008","วงจรไคลด์"
"#00009","ขี่แต่จักรยานไฟฟ้าเท่านั้น"
"#00010","ชายแก่"
"#00011","เก็บเงินไว้ใช้ยามเกษียณ"
"#00012","เกลนบ้า"
"#00013","ชอบอยู่ข้างนอกทั้งคืน"
"#00014","โซบะ ทาเบรุ"
"#00015","ชอบบะหมี่มากกว่าพาสต้า"
"#00016","เอ็ด อิตอร์"
"#00017","เคยเป็นบรรณาธิการ"
"#00018","สภาเซซิล"
"#00019","ประธานรุ่น3ปี"
"#00020","แซมมี่ เทซึกะ"
"#00021","มีมือที่เร็วมาก"
"#00022","คิงอัคบาร์"
"#00023","กำลังมองหางานที่เขาชอบ"
"#00024","เนบิวลาวีนัส"
"#00025","ชอบซาวน่า ไอศกรีม"
"#00026","มาร์วิน พิทเชอร์"
"#00027","เพิ่งออกจากแอนิเมชั่น 3 มิติ"
"#00028","ศรีบอร์ก"
"#00029","คุยกับเครื่องจักรได้"
"#00030","สก็อตต์ เฮมิงเวย์"
"#00031","รู้วรรณกรรมที่ยอดเยี่ยม"
"#00032","ฮิวจ์ จี อีทเตอร์"
"#00033","กินอาหารเย็น 3 มื้อต่อวัน"
"#00034","วิลลี่ ไฮแมน"
"#00035","สุดยอดนักขาย"
"#00036","เอ็ด โอโทคุงาวะ"
"#00037","ต้องการสร้างสวนสนุกญี่ปุ่น"
"#00038","สระเจอริดี"
"#00039","วิ่งบนน้ำได้ 3 วินาที"
"#00040","นอร์มันสามัญ"
"#00041","ใช้ชีวิตครอบครัวอย่างปกติสุข"
"#00042","หมัดโบรชัวร์"
"#00043","เหมือนตุ้มน้ำหนัก ปริศนาและห้องน้ำ"
"#00044","ไอมิ้นต์"
